idx,class,conversation_ri
18,기타 괴롭힘 대화,야 너이마빡에 빛다난이 어? 야 한 때려보자 퍽 아열리겠는데흑 왜그래 아팠어? 빛이나길래 두드려봤다 가만히있어봐 퍽퍽 야 두드리니깐 ? 빛이예뻐나다 열리나?대만 뭔소리야 광 너 서운하게 왜그러냐 친구사이에 퍽퍽퍽 야 너 미쳤어? 야 저리치워이난다 이마빡 참 흑흑흑
19,직장 내 괴롭힘 대화,나씨 기적 정수기 물탱크 좀 기적 갈아주시겠어요? 싫습니다. 물 저만 피리 마시는 사원 녀석 것도 사람 아닌데 매번 저만 남성 적화 하잖아요. 나씨가 저희 고초 부서 유일한 남자 양여 고난 직원이잖아요. 그러니까요 저 사원 일꾼 아니고 직원 사원 입니다 속 . 사원 그래서 못해주겠다는 건가요? 그런게 아니고 매번 저만 물탱크 갈고 짐 적 나르는데 부당하다는 겁니다 사원 . 사원 나씨가 남자직원이니까 사원 힘도 제일 세고 도시 먹는 양도 저희 여직원보다 더 많을 백중 거 아니에요? 저 신임 정수기 거의 안씁니다. 물 사원 수 싸가지고 다녀요. 하 수 그러고도 이 팀 자식 에서 잘 어울릴 녀석 수 있을까요? 왕따시키겠다는거에요?
20,협박 대화,너가 민수라는 남자 제자니? 네 맞는데요 왜 그러시죠? 혹시 저희 선생님께 무슨 일 생겼나요? 무슨 일은 그냥 선생님 콩팥 하나 정도 가져가려고 네.? 장난치시지 마세요. 장난이 너무 심하신 거 아니신가요? 아 어린애라 그런지 상황 판단 못하네 사진 보내 줄 테니 봐봐 장난인지 아닌지 어.? 왜 그러시는 건가요 신고 할 거예요 당장 신고 할 거예요. 신고해보던지 어딘지는 알고 신고하게? 저한테 원하시는 거 있으시면 극단 할게요 선생님 해치지 말아주세요 그럼 내가 말하는 거 가져다 주기만 해 그러면 그냥 깔끔하게 끝날 일이야 그렇게 하도록 할게요 바로 할게요
21,갈취 대화,너 저번에 친구 지갑에서 돈 훔쳤잖아. 그입담을 왜 지금 꺼내. 야 다 불어버리기전에 얼마 나한테 줘봐. 내가 왜 줘야되는데? 다 불어버릴거라니까? 니가 가져간 돈 주인이랑 모든 사람들에게? 얼마면 되는데? 10만원만 줘라. 야 지금 10만원 없어. 확 불어버릴까보다? 내일까지 줄게.
22,기타 괴롭힘 대화,어유 파리꼬여 어디서 계란썩는 냄새가 나냐 설마 사람한태 나는 냄새는 아닐테고 너 뭐라했냐 얼래 저 새끼 깝치네 야 야 냅둬라 인력가 뜨끔해서 그런거겠지 너도 싸우고 싶냐? 우쭈쭈 욕먹어서 화났어요? 왜 나한테 지랄이야 이 새끼들아 니가 존나 맘에 안드니까
23,협박 대화,나좀 제발 그만 따라다녀부러부탁이야 너 만나려면 널 찾아가야될거아냐 우리자나. 이건 스토킹이야 난 아직 안헤어졌어. 너가 일방적으로 말한거지 제발 나좀 놔주면안돼 내가?언제괴롭혔다고그래하나 다 널 사랑해서 그런거지 헤어졌집 비밀번호를 또 어떻게 알았어 너 들어가는거 봤지. 남자친구. 그정도도 못보냐? 우리네집뭐 다른남자 숨겨뒀나보지? 제발 그만좀해가아니라고. 너의 그 정신병적인 병때문에 헤어진거야너에? 정신병? 이년이 말다했냐? 의심다리. .뜨려놔야어디바람을 못피지. 일로와
24,기타 괴롭힘 대화,야. 거지! 너네집 저기 판자촌이라면서? . 판자촌이 뭐야? 백금 왜 명사 다정 저 위에 다 가택 쓰러져가는 들판 무명 호수 집들 있잖아. 성 우세 거기 귀신의 집 같이 아들 다 허물어진데? 새끼. 귀신의 집은 무너지진 않잖아. 쟤네 친지 집은 천장에 구멍도 비렁뱅이 뚫려 후일 복면 유형 있을걸 금침 목초 . 추워서 경기 집에서 이불 고도 나이 둘둘 비렁뱅이 됨됨이 말고 남자 개의 있을텐데. 용케 비렁뱅이 얼어죽진 않았네. 날도 추운데 걱정은 못해줄망정 그게 무슨 망발이냐? 세대 거지 친구야 내 한계 가핫팩 울 하나 번 줄까? 추운데 이런거라도 있으면 호각 먹이 낫지 유연 영역 않겠어? 크큭 대하 . 방향 대하 와 연막 배려심봐라. 쩔어. 나도 쓰던거 있으니까 저녁 고도 때 가구 까지는 쓸 수 백금 해 있겠다. 내가 내일도 쓰던거 줄테니까 꼭 상판 형태 가져가. 비렁뱅이 쟤 주고 나면 나 손시려워서 어떻게 하냐? 새끼 꼴에 자존심은 있는지 얼굴 빨개지네? 그래 봤자 넌 거지 구 새끼 못 적 면해 영식 .
25,기타 괴롭힘 대화,여보 생활비좀 주세요 아니 이놈의 마누라는 허구한날 입만 열면 가격타령이야 애들 학원비며. 괜히 애들 핑계 대지마! 제가 입고 쓰는건 없어요. 거짓말마 아주 뱃살이 출렁출렁 여보. 그러지 말고 생활비좀 주세요 못줘! 뱃살 쳐지는 거 더이상 보기 싫어서라도 못줘 정말 제가 먹고 쓰는건 없어요. 믿어주세요. 저리가 이 여편네야 정떨어져
26,협박 대화,조용히 살라고 했는데 이새끼깔짝깔짝건드네? 그러지마.그건 정말 너네가 잘못한거잖아 야 내가 잘못했어도 그걸 니가 뭔데 말? 뭔데 신고하네 마네야 나쁜일이니까. 니가 경찰이야? 어? 경찰도 아닌새끼가 의 일에 오지랖은 .그래도 아니야 아 이 외골수새끼 입술 부르트도록 쳐맞아도 아직 정신 못차렸네 아 뇌는 아직 터지도록 안맞아서 그러냐? 제발. 여기서 나도 조용히할게 니가 조용히 하는건 하나도 안중요하고 이빨 꽉 깨물어라 안그러면 이 나간다새끼야제발 그만해.
27,갈취 대화,돈을 빌려갔으면 갚아야지 죄송합니다 을 조금만 더 주십시오 내가있네왜? 만가자선사업가야 저나는 엄연한 사업가야 알고있습니다 부탁드릴게요 뭐 보니까 남은 것도?이제 얼마 그럼 것 같은데 말이야 진짜 빈털털이 입니다 한번타령 봐주세요 그래도 그럼자동차 한대 ? 저거밖에 없어요정말.는없는 저거라도 남의 돈 빌려가놓고 서 차타고 다닐라했어? 걸어다녀야지시간그러면서 몸을 떼우고 갚아야지 하지만 이자도 너무 비싸고 . 아쉬울때는 빌려놓고 이제와편하게 이제 내하는거야? 웃기지마줘야지저거 내가 가져간다
28,협박 대화,이리로로 넌 토막내서 죽여줄게 살려주세요싫어 난 너의 장난감이랑 놀 시간 보네고 싶어서 그러는거야 제발 그만 그리고 너는 몸 장난감을 아주 잘 갖고 놀아야지 칼로 그렇게 까지.같은칼 쑤시는 맛이 있거든 살려주세요 살아있는 애의 재미 없어 야이 새끼야 경찰이다. 이런이미친와싸이코 놈 그 총 쏘기만 해봐 목를 썰어왜주겠어
29,기타 괴롭힘 대화,병신이 아이스크림 먹게 난 안 돼? 그만 . 당연히 안 되지 공부 개못하는 찐. 야 닭대가리가 말도 하네 동물농장 나가자. 너네 학교폭력으로 신고하기 전에 그만 해.아이고 무서워라 으헝헝 제발 저리 가. 나였으면 아이스크림 먹을 시간에 공부한다.멈춰! 저러니까 쳐맞고 다니지
30,갈취 대화,와 한창 분위기 좋을때 방해해서 죄송합니다 누. 누구야? 이 새끼 갑자기 쉬쉬 사장님 흥분하지 마시구요 제가 이 여자 오빠되는 사람입니다 그런데 안타깝게도 얘가 아직 살이 뭐예요 ? 그. 그게 어때서? 우리 사. 사랑하는 야 푸하하하 이분 재미있으신 분이시네 저.저기 내 실수 한것 같으니 용서해주게 용서라 뭐 까짓것 용서해드리죠 다만 제게 뭔가 필요한게 있어서요 사모님 번호가 뭐였더라 돈이 필요하다면 내 지분을 팔아서 줌세 사장 소유의 은행 있는 기억나시죠? 자네가 그걸 어떻게?
31,기타 괴롭힘 대화,니가 나 따라한다는 애구나?내 내가? 나 너 안따라해. 머라는거야. 여기 사진 다 있거든가봐 너 내가 누군지 모르지? 너 한번 찍혀야 정신차리냐? 아니야 나. 야 진짜 아니야. 이거 나 아니야. 하지마 머래니? 작작 나대. 진짜로 나 진짜 아니야 나 이런대 가보지도 않았어. 나 니가한테내 썸남한테 꼬리쳤다며 거짓말 애 가 다 듣고 이러는거거든? 진짜 나 아니야. 나랑 닮은말아줘앤..좀야 재 입 좀 어떻게 하자. 애들아 제발 이러지 . 선생님 말할거야.
32,협박 대화,자꾸 원하는데너으로 내 연락 무시하면 나도 가만 있지 않을거야 가서어떻게 할건데? 당장하고네 집에 가서 다 말할거야 정말 그러기야? 제발 이제 그만해 네가 자꾸 연락 무시하고 책을 내놓지 않잖아 어떻게 하길 이런? 당장 집에 네 와이프 말해 에게그건 안 돼.연락그럼 나 이혼당해 그 정도도 생각 안 행동했니? 진짜 식 칼로 갈기갈기 이렇게 죽여 버릴거야 나도 가만 있지 않을거야. 찢어 말이 안통하니 자꾸 을 차단하는거 아냐 네가 그렇게해결나오면 나도 이제 가만있지 않겠어
33,기타 괴롭힘 대화,야 너는 00고등학교 배정되서 어쩌냐 왜 00고등학교가 어떄서책? 거기 내신 구리잖아. 애들도 다 돌대가리 아니면 일진뿐이라던데 나는 상관없어 어짜피 공부 잘하니까 뭐가 상관없어 니 친구들도 다 공부못하는 애들이고 노는애들 뿐일텐데 걔네랑 안놀아 나 혼자 지낼거야 너도 걔네처럼 존나 구려지겠지? 나는고등학교가서 집 잘살고 공부잘하는 친구들 많이 사귈건데 그래라 너는 어쩌냐 인생 망했네 그만해
34,기타 괴롭힘 대화,야 손 . 하. 한숨 쉬었어? 야 손하지. 그렇게 부르지마.때리지마뭐? 병신한테 병신이라 그러는데. 그렇게 말병신 말라고. 야 병신 . 너 손이 그래서 은 어떻게 닦냐?아그런 말 하지 말라고. 이 새끼가 형님이 말하는데 말대답이야병신병신아 .똥으이구 ? 새끼!
35,기타 괴롭힘 대화,너 내가 쳐다보지 말랬지 미안 근데 본거 아니야 지금 쳐다보고 있잖아 아니야 일부러 본게 아니야 본 거 맞네. 왜 거짓말시절? 거짓말은 나쁜거지? .응 그럼 맞아야겠지? 미안해 잘못했어 뭐가 잘못했는데? 반성문 쓸게
36,직장 내 괴롭힘 대화,나이가 몇인데 내가 이런 편까지 일러줘야돼? 죄송합니다 기본적인 편도 탑재가 안되있으면 어떡해? 죄송합니다. 그 죄송하다는 소리좀 듣기 싫어 제대로 할수 없어? 다음부터 제대로 해보겠습니다 그따위로 하다간 다음은 없을지도 몰라 제대로좀해 제발! 네 정말 죄송합니다 아주 가정에서부터 교육을 다시 받아야돼 문제가 많아 요새 젊은 편들은 . 죄송합니다
37,갈취 대화,야 나 라 지갑을 안가져왔는데 5만원만 빌려주라 이번. 지난 저에도 빌려간 아직 안주셨잖아요. 내가 급해서 그래돈오늘꺼 해서 정말 줄게 약속도 안지키시는데 번 드리기 싫어요 우리 사이에까지왜그래 아. 저 바로 힘들어요 이번 한번만 주면 다시는 달라고 안할게 정말 그만하세요 앞으로 너 안괴롭힐게 이번 한번만 주오늘 아이 마지막이에요.
38,직장 내 괴롭힘 대화,팀장님 오늘 당직이도시죠? 그런데? 아 직원 부모님 상당했다고 문자 한통 전직원들에게 부탁드려도될까요? 그런건 서무가 하는일 아니니? 아 그렇긴한데 주말이라 당직자에게 부탁하는건데요. 나는 문자 못보내주겠다 니가 와서 해라 네? 못들었니? 니가 와서 보내라고. 주말인데 사무실까지 가려면 시간좀 걸리는데 한번만 보내주십시오. 당직자가 원래 해주는 일도 맞지 않습니까? 아 그건 모르겠고 니가 와서 보내든가 말든가해라 끊어라
39,기타 괴롭힘 대화,너 왜 화목 내 사진 합성해서 줄기 프로필 사진 읍 한거야? 이게 먼지 왜 너 극한 야? 물길 멧돼지 쪽 맞잖아. 얼굴이랑 근데 몸을 이렇게 합성 수익 한 이유가 뭐냐고. 얼굴만 상체 살짝 비슷한데? 뜬금 물길 없다. 이거 나 풍진 일부러 놀리려고 그런거지? 티끌 그리고 남의 나체 사진으로 이러는 거 불법 멧돼지 이거든? 아 예예 그래서요? 이거 내가 기왕 했다는 증거 정한 있어? 멧돼지 내 수입 핸드폰으로 안면 전조 기 남이 멧돼지 옛날 분진 범위 상반신 한 거일 수도 있잖아 그럼 사진 지워. 싫은데?? 비렁뱅이 쪽 분진 제한 상체 웃기잖아 돼지 같고 춘추 좋은데 뭐 분진 말씀 상반신 . 야 그리고 돼지얼굴에 돼지 멧돼지 몸 붙여준 게 잘못이야? 뭐? 돼지 순리 라니? 너 진짜 말 좀 가려서해. 흙먼지 치아 비위 돼지 아니야? 너 걸을 때마다 꿀꿀 소리내잖아.
40,갈취 대화,내놔 내놓으라고 없는데 뭘 줘? 뒤져서 나오면 어쩔래 뒤져봐 뒤벼보고 안나오면 어쩔껀데 없음 니가 일을하든 아님 집에 가서 받아가야지 싫은데 이게 진짜 죽고싶나 구리다가왜 죽어 아 이 미친년 넌 맞아야 정신차리지 그만해 얼마필요한대 이제 정신드냐 얼마필요하냐고 10만 가지고와라
41,협박 대화,대 니가 내돈 훔쳤지? 아니야 내가 왜 니돈을 소득 훔쳐 없어졌는데?? 백금 지갑에 있던 돈이? 치 어디 수 다른데다가 흘렸겠지 도둑놈 원칙 절도죄 나는 아니야 하 웃기고 있네 너 취기 집이 찢어지게 가난하다며 그래서 내가 원가 순리 도둑을 했다는거야? 어 가격 부스러기 도둑년이 재물 당당하게 원칙 도적 년 방조 강도 눈치켜뜨네?? 년 나 정말아니야 자산 너같은 년은 손목이 분질러져야 백금 월 두번 다시 도둑질 못할건데 그렇지? 나정말 시가 아니라구!!! 도둑놈 큰소리내지마 짜증나니까 손목은 분 도둑놈 질러지고 입까지 쇠똥 납입 연간 막혀야 정신차릴래?
42,직장 내 괴롭힘 대화,야 조선생 이것 치료 네? 저 부르신건가요? 그래 여기 너말고 더 있냐? 그래도 다인데 그렇게 부르시는거는 좀. 뭐 그럼 내가 존칭까지 써가면서?불러야겠어 .일이나 제대로 해 네.알겠습니다. 일하고 저기좀이따 저기 쓰레기 좀 버리고 와라. 실이도너무 더럽다. 저 혼자하기에는 너무 힘든데요. 그럼해와직장 늙은 내가 하리? 알겠습니다 버리고 오겠습니다.
43,기타 괴롭힘 대화,이번에 약속한 만큼 못 뺐더라? 부족한거였잖아. 그래도 못뺀거지 돼지야 어떻게 그정도 못빼냐 나도 노력했어 노력했는데. 안되는걸 어떻게 하냐고. 나도 는 식은죽 먹기로 했어 어디서 돼지 이상한 소리내냐. 돼지 아니야 더 하면 예뻐질거야. 돼지가 노력하면 이뻐진대. 돼지가 예쁘면 예쁘다고 다 똑같은 돼지인데. 돼지 아니라니까. 그러지마내동생이라는게 쪽팔리다 돼지야 돼지야 돼지야 넌 나보고 아는체 하지마. 오빠 미워.
44,갈취 대화,아! 아줌마 운전? 이렇게 하면 어떻게 해요 ? 무슨 일이시죠가 아줌마가 주차하면서 내을오토바이를 쳤잖아요. 무슨 소리에요? 이렇게 주차 선 안에 차가되겠네잘 들어가 있는데. 여기 보세요. 제 오토바이가 이렇게 쓰러져 있잖아요. 하고 차가 내 를 쳤다니까! 말도 안되는 소리를 이렇게! 경찰을 불러도 되지만 여기? 또 호텔 주차장이잖아.아줌마를 위해서 내가 싸게안처리할게요. 한 50? 어때요? 말도 그럼 되는 소리 하지 마세요. 경찰도 부르고 보험회사도 부르고 아줌마 남편도 부를까? 다음주부터 사이좋게 남편아줌마 운전연수 하면 네.오토바이 이거 완전 사기꾼이네.
45,직장 내 괴롭힘 대화,저 이번에 육아휴직 좀 내려구요 데 무슨 육아휴직이야 아내 힘들어 해서요 그래서 너 힘들 줄 아냐 근데 복지 중에 유가의 휴직제도 있던데요 그래 쓸 순 한번 써 무슨 이신가요 니가 휴직하고 와서 자리 있는지 고 너무 부당하다고 생각합니다 지금 당장 그만두던가
46,기타 괴롭힘 대화,야 재형적당히 미친 새끼가 누구 보고 더럽네 하. 새끼.? 야 새끼야 내가 더 나빠 존제자체가 인 새끼야 야 이재형 보고 새끼라고 하지마 새끼란 욕이 불쌍해민폐그래 내가 미안하니까 이제기분그만해 잘못했어 그래 야 이야 작작하자 나도록이래심하게 건들다가 큰일 날 가 같으니까 나중에 적당히 건들자 웃긴 새끼네 야 날 나쁜사람 말 그리고 니것 뭔데 명령을 해 야 현우야 아 하자사람 저 더러운 놈 잘못건들면재형우리만 손해야 착한 내가 참는다. 야 하고 하라고 내가 뭔 죄를 졌길래 계속 그러는데아니작작해 이 하가 미쳤구나 하교시간때으로보자 먼지 괜히 맞을 준비하고 현우 새끼 중학교생활 망했네 너 만드냐이야 니까 잘못 건들었어 성적표 점수도 내려갈 준비적당히
47,기타 괴롭힘 대화,야 제 민호 바 팔봐한짝 밖에 없어 애들아 놀리지마. 야 뭘 놀린다고 그러냐 놀리는거 이 내가 듣기에는 놀리는거로 밖에 가들려 하. 아니야 시발럼이 야 뒤질래? 왜아니그래. 야 니안 화나게 하잖아갑자기시발 너가 놀리는거 같아서. 야 놀리는거 아니라고 몇번을 말해 한 번더 말대꾸 해봐 다음엔 죽여버린다 응 미안해.
48,갈취 대화,호기 야 좋은말로 할때 놓고 가라 엄니 가운데 이거 아빠가 사주신거에요 아니 그냥 잡 빌리겠다고 빨리 남자 아들 벗고 연기 가 아 가운데 진짜 안되는데 야 내가 아비 가운데 만만하냐 놓고 아드님 가라 아버지 퍼센트 자두 고 제발요 지랄하지말고 가진거 다 내놔 제발 돌려주세요 뭘 속 비율 되돌려 줘 이새끼야 안돼요
