기타 괴롭힘 대화,"아이스커피와 아이스커피의 차이는 얼음의 유무입니다. 아이스커피는 얼음을 넣은 차가운 커피이며, 아이스커피는 뜨거운 커피에 얼음을 넣어 마시는 커피입니다. 고객과의 대화에서는 아이스커피를 주문하였으나, 실제로는 아이스커피가 아닌 다른 음료가 제공되었을 때, 해당 고객이 ""아, 아이스커피 시켰는데 왜 뜨거운 커피가 나왔어요?"" 라고 말하며 아이스커피와 다른 음료를 구분하는 대화가 이어졌습니다."
기타 괴롭힘 대화,"경고문자는 보통 어떤 행위를 하지 말라고 주의를 주는 것입니다. 하지만 질문자의 경우에는 차량을 주차한 곳이 아닌 곳에 주차를 하지 말라고 주의를 받았음에도 불구하고 계속해서 주차를 한 상황입니다. 따라서 주차위반 경고장을 붙인 것은 정당한 조치입니다. 만약 경고장을 붙이지 않았다면, 그 경비원은 질문자의 차량을 계속해서 감시해야 했을 것이고, 다른 입주민들의 주차에도 불편함이 있었을 것입니다. 따라서 경고장을 붙인 것은 입주민들의 불편을 최소화하기 위한 경비원의 조치였습니다. 비록 경고장의 내용이 불만족스럽더라도, 이는 경비원의 관리 하에 이루어져야 하는 것이며, 입주민들은 이를 준수해야 합니다. 따라서 경고장을 붙인 경비원과 대화를 통해 타협점을 찾는 것이 바람직합니다."
기타 괴롭힘 대화,"영화관에서는 일반적으로 고객들을 대상으로 멤버십 등급을 나누고 있습니다. 각 등급은 영화관에서의 구매 기록에 따라 결정됩니다. 그러나 일부 고객들은 다른 등급을 가지고 있음에도 불구하고, 차별 대우를 받는다는 느낌을 받을 수 있습니다.

예를 들어, 영화관 직원이 어떤 고객에게는 특별 할인 쿠폰을 제공하면서 다른 고객에게는 제공하지 않는 경우, 또는 멤버십 등급에 따라 관람 가능한 영화가 제한되어 있는 경우, 고객들은 불만을 느낄 수 있습니다.

하지만 대부분의 영화관에서는 이러한 불만을 처리하기 위한 공식적인 정책이나 절차를 가지고 있지 않은 경우가 많습니다. 직원들은 고객들과의 갈등을 처리할 때, 감정적으로 대처하거나 다른 고객들 앞에서 그 고객을 모욕하는 경우도 있습니다. 이렇게 처리하는 것은 문제를 해결하는 데 전혀 도움이 되지 않습니다.

따라서, 영화관에서 직원과 고객 간의 갈등이 발생할 경우, 해당 문제를 신중하게 처리하는 것이 중요합니다. 우선, 고객이 불만을 제기하는 경우, 직원은 침착하게 불만의 원인을 파악하고 적극적으로 문제를 해결하려는 의지를 보여야 합니다. 

둘째, 고객이 모욕적인 발언이나 폭력적인 행동을 보이는 경우, 직원은 상황을 신속하게 처리하고 고객에게 금전적인 피해가 가지 않도록 조치를 취해야 합니다. 

마지막으로, 영화관 직원은 고객과의 갈등으로 인해 감정적으로 소진되어서는 안 됩니다. 직원은 고객과의 소통을 통해 감정적 안정을 유지해야 하며, 문제를 해결할 때 차분하고 전문적인 태도를 유지해야 합니다. 

이러한 처리 절차는 영화관마다 다를 수 있지만, 고객과 직원 간의 갈등을 처리하는 공통적인 방법은 고객과 직원 간의 대화를 통해"
갈취 대화,"이는 세금계산서 발급 절차의 문제로 발생하는 일입니다. 상대방이 세금계산서 발급을 꺼려하는 경우, 세금계산서 발급을 받지 않으면 매출액이 노출되지 않기 때문에 이는 일종의 범죄 행위입니다. 따라서, 상대방이 세금계산서를 발급하지 않으려는 경우에는 어떤 문제가 발생하더라도 상대방을 설득하여 세금계산서를 발급받으셔야 합니다. 

만약 세금계산서를 발급받지 않으시면, 매입세액을 공제받지 못하여 부가가치세를 추가로 부담하게 됩니다. 3%의 가산세도 부과되므로, 반드시 세금계산서를 발급받으시기 바랍니다. 상대방이 법인이라면 법인카드로 결제하시는 것도 좋은 방법입니다. 

따라서, 반드시 세금계산서를 발급받으시고, 가산세와 차후의 문제가 발생하지 않도록 하시기 바랍니다."
갈취 대화,"영화 '달콤한 인생'에서 이병헌이 맡은 역할은 조직의 2인자인 선우영빈입니다. 그는 보스인 강사장을 제거하고 조직 내에서 자신의 위치를 높이기 위해 노력합니다. 그러던 중 자신이 짝사랑하는 희수에게 다가가기 위해 보스의 여자인 민영을 이용하게 됩니다. 이 때, 민영을 불러내서 이야기하던 중 '뭐 드릴까요?' 라는 질문에 '껌' 이라고 대답하는 장면이 나옵니다. 이 장면은 선우영빈이 희수에게 다가가기 위해서는 보스인 강사장을 제거해야 한다는 것을 깨닫고, 자신이 짝사랑하는 희수와 함께 있는 시간을 늘리기 위해 노력하고 있는 모습을 보여줍니다."
직장 내 괴롭힘 대화,"""이대리, 오늘 도대체 뭘 한 거야?""는 업무 중에 실수를 하거나, 일을 제대로 처리하지 못한 직원에게 하는 말입니다. 이 때, ""뭘""은 '무엇을'의 줄임말이며, ""한 거야?""는 의문문입니다. 따라서, 이 문장은 ""이대리가 오늘 일을 제대로 처리한 게 맞나요?""라는 뜻을 가지고 있습니다. 

이대리, 김과장 등은 직함을 나타내는 단어이며, '이대리'는 여자인 경우에 사용되는 경우가 많고, '김과장'은 남자인 경우에 사용되는 경우가 많습니다. 하지만 성별과 관계없이 사용될 수도 있습니다.

""네, 지금 바로 하겠습니다.""는 직원이 빠르게 업무를 처리하겠다는 의지를 나타내는 대답입니다.

이대리, 김과장 등의 호칭이 사용되는 상황은 일반적으로 대화에서 상대방의 직급을 부르기 애매한 상황에서 사용됩니다. 예를 들어, 나이가 어린 상사나 선배에게 ""이대리""나 ""김과장""으로 부르는 것이 일반적입니다."
협박 대화,"위 대화에서는 지우개를 훔친 아이의 부모가 대화를 시도하는 것이 나타나 있습니다. 부모는 단지 아들의 교육을 위해 처벌을 원하지 않았지만, 부모의 대화는 충격적이었습니다. 부모는 아이들을 혼내는 것이 아니라, 아이들을 혼란스럽게 만들었습니다. 이에 대해 교사는 부모에게 ""그렇게 하시면 안 됩니다""라고 말하며 대화를 시도하였습니다. 하지만 부모는 교사의 말을 무시하며 분노를 표출하였고, 교사는 결국 부모와의 갈등 상황에 놓이게 되었습니다.

위 상황에서 나타난 대화의 문제점은 무엇일까요? 부모는 자신의 아이가 잘못을 했을 때, 그것을 혼내는 것이 아니라 혼란스럽게 만들어버렸습니다. 이는 아이들을 교육하는 데에 좋지 않은 영향을 미칩니다. 교사가 부모에게 ""그렇게 하시면 안 됩니다""라고 말한 것은 부모의 대화 방식이 잘못되었기 때문입니다. 

위 상황에서 나타난 대화의 팁을 알려주세요. 부모는 자신의 아이가 잘못을 했을 때, 감정적으로 대하지 않고 객관적으로 상황을 바라보며 대화해야 합니다. ""너가 그렇게 하면 안 되지""와 같은 대화는 아이들을 혼란스럽게 만들어버리기 때문"
갈취 대화,"위의 대화에서는 두 사람이 서로에게 돈을 달라고 요구하며 대화를 이어가고 있습니다. 이 상황에서 돈을 주는 사람은 형으로, 동생이 말로만 때를 쓰며 돈을 달라고 하는 것이 못마땅해서 때리려고 합니다. 이에 대해 돈을 받지 않겠다고 하며 대신 말로만 달라고 하는 동생과, 지갑을 뒤져봐도 되냐고 물어보는 형의 대화가 이어지고 있습니다."
직장 내 괴롭힘 대화,"직장에서 동료와의 대화에서 자주 사용되는 용어와 표현에 대해 알려드리겠습니다.

- 씨발/존나: 불만이나 짜증이 날 때 사용하는 용어입니다.
- 나: 자신의 상황이나 의견을 말할 때 사용하는 말입니다.
- 개같다: 매우 안좋은 상황이나 물건을 설명할 때 사용하는 말입니다.
- 것이다: 추측이나 확신이 없는 것을 말할 때 사용하는 말입니다.
- 같다: 비슷한 것을 비교할 때 사용하는 말입니다.

또한, 직장에서 사용되는 말 중에는 동료와의 관계를 나타내는 말도 있습니다. 예를 들어,
- 씨발년: 같이 일하기 싫은 사람이나 같이 일하기 어려운 사람을 나타낼 때 사용하는 말입니다.
- 시발놈: 같이 일하기 싫은 사람이나 같이 일하기 어려운 사람을 나타낼 때 사용하는 말입니다.
- 나: 자신을 나타낼 때 사용하는 말입니다.
- 지랄맞다: 성격이나 행동이 안좋은 사람을 나타낼 때 사용하는 말입니다.
- 개같다: 매우 안좋은 상황이나 물건을 설명할 때 사용하는 말입니다.
- 것이다: 추측이나 확신이 없는 것을 말할 때 사용하는 말입니다.
- 같다: 비슷한 것을 비교할 때 사용하는 말입니다.

위의 용어와 표현들은 직장에서의 대화에서 자주 사용되므로, 익혀두시면 좋습니다."
갈취 대화,"""야, 너 휴대폰 좀 빌려줘봐.""는 친구와의 대화에서 자주 등장하는 갈등 대화입니다. 그러나 이러한 요구는 무례한 것이며, 상대방에게 불쾌감을 줄 수 있습니다. 따라서, 친구와의 사이에서도 이러한 요구는 지양해야 합니다."
갈취 대화,"""학생, 거기 잠깐만""은 매우 흔한 말입니다. 이는 잠깐만이라는 말이 상황에 따라 다르게 이해될 수 있기 때문입니다. 예를 들어, ""잠깐만 거기 학생""은 여러 가지 상황에서 다르게 이해될 수 있습니다. 따라서 이에 대한 대답도 상황에 따라 다르게 나올 수 있습니다. 하지만 보편적으로 ""학생""이라는 말에는 '어려움에 처한 학생'이라는 뜻이 담겨져 있습니다. 그래서 ""예, 저 여기 있어요"" 혹은 ""저를 도와주실 수 있나요?""와 같은 뜻으로 사용될 수 있습니다. 하지만 상황에 따라 바로 대답하지 않고, 잠시 생각할 시간을 가진 후에 대답하는 것이 좋을 수도 있습니다."
갈취 대화,"""얼마 가져왔어?""는 '최선을 다해 맞자'라는 상대방을 위협하는 말이며, ""십만원 정도""는 자신이 생각할 수 있는 최대한의 금액을 말한 것입니다. 이에 대해 ""야 이걸로 새 폰을 어떻게 사""라는 답변은 상대방의 소비를 격려하는 것이 아니라, 오히려 상대방의 소비를 제한하는 말입니다. 이 상황에서 ""최선을 다해 맞자""라는 말에 대해 ""어떻게 새 폰을 살 것인가""는 상대방이 스스로 생각하고 결정할 문제입니다. 따라서 ""최선을 다해 맞자""라는 말에 대해 ""너를 믿는다""와 같은 신뢰의 표현이나 ""잘 할 수 있을 거야""와 같은 격려의 표현으로 답변하는 것이 좋습니다. ""그거밖에 못해?""와 같은 말은 상대방의 능력에 대한 의문을 제기하는 것이며, 이는 상대방에게 불쾌감을 줄 수 있습니다. 따라서 상황에 따라 ""괜찮아"", ""잘했어""와 같은 긍정적인 언어로 대화하는 것이 좋습니다."
기타 괴롭힘 대화,"""야, 너 이마빡에 빛이 난다?""는 친구 사이에 일상적으로 쓰이는 대화 중 하나입니다. 하지만, 이 말에는 실제로는 친구 사이에서 사용해서는 안 되는 비속어와 욕설이 포함되어 있습니다. 이러한 표현은 친구나 가족처럼 가까운 사이에서도 사용해서는 안 되는 대화입니다.

이마에 빛이 난다는 것은 신체적인 특징이나 외모에 대한 칭찬이 아니라, 비정상적인 상황에서 나타나는 모습을 비꼬아 말하는 것입니다. 예를 들어, 친구가 전날 밤을 새워 공부한 후 너무 피곤해서 이마에 핏줄이 서는 것처럼 보이는 상황에서 이 말을 사용할 수 있습니다.

따라서, ""야, 너 이마빡에 빛이 난다?""라는 말은 욕설과 비속어가 포함되어 있으며, 친구나 가족 사이에서도 사용해서는 안 되는 대화입니다."
직장 내 괴롭힘 대화,"직장에서 동료와 함께 일을 하다 보면 물과 같은 공용물품을 함께 사용해야 할 때가 있습니다. 그러나 각자의 성격과 업무 역량, 그리고 상황에 따라 물탱크를 갈거나 물을 나르는 것과 같은 작업이 매우 힘들거나 불가능할 수도 있습니다. 이 경우, 서로의 업무를 존중하고 상황을 이해하며 일을 하는 것이 중요합니다. 그리고 업무를 완수하기 위해 필요한 것이 있다면 서로 협조하는 것이 좋습니다. 이를 위해 다음과 같은 대화를 나눌 수 있습니다.

동료: ""물탱크를 갈아야 하는데, 같이 하는 건 어떨까요?""
동료 B: ""저도 그 일을 하기는 하지만, 이것을 하면서 이것을 하는 것은 좀 힘들 것 같아요. 다른 방법이 없을까요?""
동료 A: ""그럼 제가 이것을 하겠습니다. 어떤 문제가 있으면 알려주세요.""

동료 B: ""고마워요. 그럼 우리 함께 잘 해봅시다!""

위와 같은 대화를 통해 동료들과 함께 일을 하며 상황을 극복할 수 있습니다. 동료들과 서로의 업무를 이해하고 존중하는 것이 갈등을 해결하는 핵심입니다."
협박 대화,"해당 상황은 가상의 상황으로, 대화 내용만으로는 실제 상황에서 어떤 일이 일어나는지는 알 수 없습니다. 그러나, 콩팥을 달라는 요청은 일반적으로 일어나는 일은 아닙니다. 이는 특정한 상황에서 일어나는 일이며, 대개는 선생님과 학생 혹은 선생님과 부모님 사이에서 발생합니다. 이는 상대방을 신뢰하고 존경하는 마음에서 비롯되며, 양쪽 모두가 좋은 의도를 가지고 있습니다. 

만약 이러한 요청을 받았을 경우, 상대방의 기분을 고려하여 요청을 수락하는 것이 좋습니다. 물론, 이는 항상 옳은 판단이 아닐 수 있습니다. 따라서, 상대방에 대한 신뢰와 존경을 바탕으로 대화를 진행하는 것이 중요합니다."
갈취 대화,"위의 대화에서 친구는 돈을 잃어버린 친구를 비난하는 상황이고, 화자는 그런 친구를 말리고 있는 상황입니다. 이 때, ""니가 저번에 친구 지갑에서 돈 훔쳤잖아."" 라는 친구의 말에 대해, ""그 말을 왜 지금 하냐"" 고 화를 내는 것은 적절하지 않습니다. 대신에 ""우리는 그 일에 대해 이야기하고 있었다"" 라거나 ""그 일은 이제 지난 일이다"" 라는 식으로 이야기를 하는 것이 적절합니다. 

화자는 친구에게 ""니가 가져간 돈 주인이랑 모든 사람들에게 다 불어버릴거야"" 라고 말하고 있습니다. 이에 대해 화자는 친구에게 ""얼마를 주면 되냐"" 고 묻고 있습니다. 이 때, ""10만원이면 되냐"" 라는 말은 화자가 돈을 훔쳤을 때의 금액과 동일하다는 것을 알 수 있습니다. 따라서, 이 상황에서 화자는 돈을 돌려받길 원하는 것이 아니라, 친구를 협박하는 것으로 보입니다. 

결론적으로, 위의 대화에서 화자는 돈을 돌려받길 원하는 것이 아니라, 친구를 협박하는 것으로 보입니다. 이런 상황에서는 돈을 돌려주는 것이 적절하지 않습니다."
기타 괴롭힘 대화,"어유, 파리 꼬이는 것 좀 봐. 어디서 계란 썩는 냄새가 나는 것 같아요.라는 말은 상대방의 약점을 건드린 말일 수 있습니다. 상대방에게 직접적으로 말하지 않았더라도, 상대방의 아픈 곳을 쿡쿡 찌르는 말은 갈등을 일으킬 수 있습니다. 따라서, ""어유, 저 사람 좀 봐. 계란 썩는 냄새가 정말 지독하네.""라는 말은 듣는 사람에게 불편한 감정을 일으킬 수 있는 부적절한 말일 수 있습니다. 이런 말을 사용하는 의도와 상황에 따라, 이 말은 상대방의 기분을 상하게 할 수 있습니다. 따라서, 이런 종류의 말을 사용할 때에는 신중하게 사용해야 합니다."
협박 대화,"헤어진 여자친구가 자꾸 자신을 따라다니며 괴롭히고 있다는 남성의 사례를 통해, 스토킹의 범위와 그 심각성을 알 수 있습니다. 이에 대한 대응으로는 남성이 적극적으로 대처하는 것이 필요합니다. 우선, 남성은 헤어스타일이나 옷차림을 바꿔서 여성의 관심을 차단할 필요가 있습니다. 또한, 여성과 함께한 자리에서는 그녀를 무시하거나 차갑게 대하는 것이 적절합니다. 이와 함께, 여성이 남성의 지인이나 가족을 만나는 것을 방지하기 위해 남성이 자신의 지인이나 가족을 그녀에게 소개하지 않도록 미리 경고하는 것도 필요합니다.

하지만, 이러한 대응에도 불구하고 여성이 계속해서 남성을 따라다닌다면, 남성은 경찰에 신고해야 합니다. 그리고 경찰과 함께 여성이 더 이상 따라오지 않도록 상황을 정리할 필요가 있습니다. 무엇보다도, 여성이 남성을 따라다니는 것은 범죄가 아니기 때문에 경찰이 이를 제재할 방법은 없습니다."
기타 괴롭힘 대화,"""거지""는 현재는 잘 쓰이지 않는 말입니다. 그러나 1970년대에는 매우 흔하게 쓰이던 말이었습니다. 그 당시 유행하던 말로는 ""얌체""와 ""푼수""가 있었습니다. ""얌체""는 '염치'라는 뜻으로, '얌체'를 한자로 쓰면 '廉恥'이 됩니다. ""푼수""는 '푼돈'과 관련이 있는데, 이는 '푼'이 '分'이고, '돈'이 '錢'임을 알 수 있습니다. 이처럼 그 당시에는 지금과는 다르게 거지와 같은 어려운 사람들을 비하하는 표현이 많이 사용되었습니다."
기타 괴롭힘 대화,"""생활비 좀 주세요""는 경제적인 문제로 인해 발생하는 부부간의 갈등 대화 중 하나입니다.

이 때, ""못줘! 뱃살 출렁출렁""은 상대방의 의견에 반대하며, 자신의 상황을 강조하는 표현입니다. ""제가 먹고 쓰는 건 없어요""는 자신이 실제로 쓰는 돈이 없다는 것을 나타내는 말입니다.

이처럼, 생활 속에서 발생하는 다양한 상황에서 적절한 대화 방법을 사용함으로써, 부부간의 갈등을 줄일 수 있습니다."
협박 대화,"일상 생활에서 우리는 다양한 인간관계에서 갈등을 겪을 수 있습니다. 이러한 갈등 상황에서 대화 방법은 매우 중요합니다. 아래는 갈등 상황에서의 대화 방법 중 권장되는 것과 지양해야 할 것을 구분하여 제시한 것입니다.

- 권장되는 대화 방법:
  - 감정에 공감하며 듣기
  - 비난이나 비평, 불평하지 않기
  - 모욕적인 말이나 폭력적인 말 사용하지 않기
  - 상대방의 약점이나 상처를 언급하지 않기
  - 나의 생각을 구체적으로 표현하되, 존중하는 태도로 대화하기

- 지양해야 할 대화 방법:
  - 감정에 공감하지 않고 듣기
  - 비난, 비평, 불평하기
  - 모욕적인 말과 욕설 사용하기
  - 상대방의 약점이나 상처를 언급하기
  - 나의 생각을 존중하지 않고 대화하기

따라서, 권장되는 대화 방법으로는 감정에 공감하며 듣고, 비난이나 비평, 불평을 하지 않고, 모욕적인 말이나 폭력적인 말을 사용하지 않는 것입니다. 반면에, 지양해야 할 대화 방법으로는 감정에 공감하지 않고 듣는 것, 비난, 비평, 불평을 하는 것, 모욕적인 말이나 폭력적인 말을 사용하는 것 등이 있습니다."
갈취 대화,"돈을 빌려줬는데, 갚지 않고 오히려 큰소리를 치며 협박하는 상황이라면 빌려준 사람으로서는 매우 화가 날 것입니다. 하지만 이러한 상황에서도 대처 방법은 있습니다.

우선, 빌려준 돈을 받기 위해서는 소송을 해야 할 수도 있습니다. 하지만 이는 시간과 비용이 많이 소요됩니다. 그러므로 대화를 통해 돈을 빌려간 사람이 자신의 잘못을 깨닫고 갚을 수 있도록 유도해보는 것이 좋습니다.

만약 상대방이 갚을 의사가 없다면, 법적 절차를 밟아야 할 수도 있습니다. 하지만 이는 시간과 비용이 많이 소요되므로, 일단은 빌려준 돈의 내역과 상대방의 변제 노력 등을 기록해두고, 소송을 고려해야 합니다.

또한, 돈을 빌려주는 경우에는 반드시 빌려준 돈이 상대방이 갚을 수 있는 범위 내에서빌려준 돈이어야 합니다. 그렇지 않으면 상대방이 오히려 협박이나 강요를 할 수도 있습니다. 따라서 돈을 빌려줄 때는 미리 이자 등을 계산해두고, 이자를 받을 수 있는 계약서를 작성해두는 것이 좋습니다.

마지막으로, 돈을 빌려줄 때는 상대방이 갚을 능력이 있는지도 고려해야 합니다. 만약 채무자가 재산을 은닉하거나 조작할 우려가 있다면, 재산을 미리 가압류해두는 것이 좋습니다.

모든 상황에서 가장 중요한 것은 대화를 통해 해결하는 것입니다. 돈을 빌려줄 때는 계약서를 작성하고"
협박 대화,"""이리로 와, 넌 토막내서 죽여줄게""라는 대사는 미국의 범죄 드라마인 ""매드맨(Mad Men)""의 한 장면에서 나온 대사입니다. 이 장면은 극중 회사의 회장과 직원 간의 갈등 상황에서 나온 대사입니다. 살려달라는 직원의 말에 회장은 ""그냥 와 이리로 와""라고 말한 뒤, 토막내서 죽이겠다고 협박합니다. 이후 직원은 살려달라고 애원하며 다른 방도가 없는지 묻습니다. 이에 회장은 ""이 칼로 쑤시는 맛이 있거든. 칼로 쑤시는 맛이 있으니 한번 살아있는 맛을 느껴보는 것도 좋을 거야""라며 직원을 토막내서 죽이겠다고 말합니다."
기타 괴롭힘 대화,"병신은 한국어로 장애인을 비하하는 용어입니다. 따라서 해당 표현은 사용하지 않는 것이 좋습니다.

대신, 장애인에 대한 존중과 배려가 담긴 대화를 권장합니다. 예를 들면, ""너는 대단한 것 같아"", ""너는 참 착한 아이야"", ""우리는 다르지만 비슷한 점이 많아""와 같은 표현들이 있습니다.

추가적으로, ""병신""은 욕설이며 나쁜 말이기 때문에 사용하지 않는 것이 바람직합니다. 위와 같은 대화를 통해 우리 모두가 존중하고 배려하는 문화를 만들어 나갈 수 있길 바랍니다."
